tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,corrAns,colorName,trialCircle.started,trialCircle.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,trialText.started,trialText.stopped,trialCount.started,trialCount.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.240139800007455,None,space,orange,14.853665500006173,15.605635099986102,space,1,0.9292067000060342,14.853665500006173,None,14.853665500006173,None,14.853665500006173,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,1,0,1,0,,,,blue,15.864125299995067,16.621971799992025,None,0,,15.864125299995067,None,15.864125299995067,None,15.864125299995067,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,2,0,2,0,,,space,orange,16.863237499987008,17.62157250000746,space,1,0.35166539999772795,16.863237499987008,None,16.863237499987008,None,16.863237499987008,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,3,0,3,0,,,space,orange,17.85801569998148,18.621259399980772,space,1,0.3812205999856815,17.85801569998148,None,17.85801569998148,None,17.85801569998148,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,4,0,4,0,,,,blue,18.860726599988993,19.620850100007374,None,0,,18.860726599988993,None,18.860726599988993,None,18.860726599988993,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,5,0,5,0,,,,blue,19.85703509999439,20.620696099998895,None,0,,19.85703509999439,None,19.85703509999439,None,19.85703509999439,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,6,0,6,0,,,,blue,20.85729749998427,21.62040459999116,None,0,,20.85729749998427,None,20.85729749998427,None,20.85729749998427,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,7,0,7,0,,,,blue,21.85658729998977,22.620287800004007,None,0,,21.85658729998977,None,21.85658729998977,None,21.85658729998977,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,8,0,8,0,,,,blue,22.856654300005175,23.619941699987976,None,0,,22.856654300005175,None,22.856654300005175,None,22.856654300005175,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,9,0,9,0,,,,blue,23.854965399979847,24.603131999989273,None,0,,23.854965399979847,None,23.854965399979847,None,23.854965399979847,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,10,0,10,0,,,space,orange,24.856855799996993,25.619915799994487,space,1,0.4060239999962505,24.856855799996993,None,24.856855799996993,None,24.856855799996993,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,11,0,11,0,,,space,orange,25.853933200007305,26.6031917000073,space,1,0.49742550001246855,25.853933200007305,None,25.853933200007305,None,25.853933200007305,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,12,0,12,0,,,,blue,26.857288900006097,27.619318099983502,None,0,,26.857288900006097,None,26.857288900006097,None,26.857288900006097,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,13,0,13,0,,,,blue,27.853320900001563,28.602262700005667,None,0,,27.853320900001563,None,27.853320900001563,None,27.853320900001563,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,14,0,14,0,,,,blue,28.852554599987343,29.601988999987952,None,0,,28.852554599987343,None,28.852554599987343,None,28.852554599987343,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,15,0,15,0,,,space,orange,29.859609000006458,30.618852799991146,space,1,0.4033908999990672,29.859609000006458,None,29.859609000006458,None,29.859609000006458,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
0,0,0,0,16,0,16,0,,,,blue,30.856689199979883,31.618283599993447,None,0,,30.856689199979883,None,30.856689199979883,None,30.856689199979883,None,a,001,2020_Jul_29_1931,goNogoAlpha3,2020.1.3,60.058797566554276,
